id,path,obj,dual_obj,load_time,calc_time,iter_nr,NLP_runs,FNLP_runs,MIQP_runs,MILP_runs
0,batch.nl,285506.50498104404,285506.50498104404,7.060589268803596e-07,0.08278367901220918,2,5,0,2,1
1,batch0812.nl,2961407.4273775765,2961407.4273775765,0.11027249891776592,0.3167521950090304,3,5,1,3,2
2,batchdes.nl,167427.65337972456,167427.65337972456,0.025561493006534874,0.022043601027689874,2,2,0,2,1
3,clay0203hfsg.nl,41573.26250379671,41391.52593116289,0.1156544890254736,2.161400048993528,7,22,13,4,5
4,clay0204hfsg.nl,6544.999962762632,6544.947290002779,0.22460116795264184,4.998209089972079,2,6,3,2,1
5,clay0205hfsg.nl,8092.499956870298,8084.94950936269,0.42686476605013013,64.47162748593837,3,7,2,2,1
6,clay0303hfsg.nl,26669.10955098333,26669.055101342103,0.17781597806606442,3.160041516064666,6,24,21,5,2
7,clay0304hfsg.nl,40262.387497012896,39890.10313237732,0.30031986394897103,15.150335340062156,12,47,35,8,7
8,clay0305hfsg.nl,8092.499956697877,8092.439801022633,0.5514782769605517,147.9020518109901,6,19,4,4,3
9,cvxnonsep_normcon20.nl,-21.7491473846331,-21.82222547389317,0.05031034105923027,0.02305444295052439,2,2,0,2,1
10,cvxnonsep_normcon30.nl,-34.22751206702149,-34.428749859066556,0.03472512704320252,0.025346762035042048,2,2,0,2,1
11,cvxnonsep_normcon40.nl,-32.6296697474825,-32.88554272835089,0.053593819960951805,0.03141613595653325,2,2,0,2,1
12,cvxnonsep_nsig20.nl,80.94929465741761,80.81583433225809,0.0304642430273816,0.022472204989753664,2,2,0,2,1
13,cvxnonsep_nsig20r.nl,81.49159484565594,80.81581789826072,0.020399869070388377,0.12435593106783926,5,11,0,5,0
14,cvxnonsep_nsig30.nl,130.65033700034454,130.47997176012422,0.046454033930785954,0.02499722398351878,2,2,0,2,0
15,cvxnonsep_nsig30r.nl,157.24837347429536,156.2343211644331,0.030796956969425082,0.16479029890615493,5,7,1,5,0
16,cvxnonsep_nsig40.nl,133.96132894832803,133.74494901551313,0.08245428500231355,0.035525606013834476,2,2,0,2,1
17,cvxnonsep_nsig40r.nl,134.61160703345774,133.74488859965595,0.045061897952109575,0.2637464969884604,4,10,1,4,0
18,cvxnonsep_pcon20.nl,-21.469437905707228,-21.629610239291953,0.026070195948705077,0.02071525389328599,2,2,0,2,0
19,cvxnonsep_pcon20r.nl,-21.46943786371748,-21.62961019921222,0.02265013800933957,0.021855700993910432,2,2,0,2,0
20,enpro48pb.nl,187277.25576055518,187276.73472848444,0.23774471797514707,1.274151504971087,5,7,0,4,2
21,enpro56pb.nl,263428.29664171406,262632.70460130344,0.18297245702706277,2.455990853952244,5,8,1,5,1
22,ex1223.nl,4.579582373600571,4.579582373600571,0.02048030204605311,0.08109278499614447,6,11,0,3,4
23,ex1223b.nl,4.57958237379399,4.57958237379399,0.010230493964627385,0.0797813480021432,6,12,0,2,5
24,fac1.nl,160912612.2935292,160912612.2935292,0.015066205989569426,1.6575218109646812,2,3,1,2,1
25,fac2.nl,331837497.8380618,329739765.28796196,0.037592323031276464,0.04598601802717894,2,2,0,2,1
26,flay02h.nl,37.94733186289341,37.94733188293823,0.023988818982616067,0.05437747295945883,3,5,0,2,1
27,flay02m.nl,37.947331804570084,37.9473259170314,0.01193528005387634,0.027064724010415375,3,3,0,2,1
28,flay03h.nl,48.989794840066864,48.82641344035217,0.06409140105824918,0.7839374949689955,6,21,0,2,4
29,flay03m.nl,48.98979474823483,48.826488205963315,0.019945634994655848,0.32108937995508313,7,24,0,2,5
30,flay04h.nl,54.40588204041725,53.917037819333004,0.17725589906331152,8.726699129096232,8,28,0,3,6
31,flay04m.nl,54.40588190069831,53.95845936598879,0.033498654956929386,2.2741095951059833,8,33,0,2,6
32,flay05h.nl,64.49806202194262,63.940512914931276,0.3990652849897742,256.708835448022,11,44,0,2,9
33,flay05m.nl,64.49806185553828,63.940453447989896,0.05283674201928079,55.94584377598949,11,49,0,2,9
34,flay06h.nl,66.93280218646217,64.82850570352379,0.7874045670032501,300.0744365910068,6,24,0,2,4
35,flay06m.nl,66.93280199011811,65.19059469966722,0.0836066190386191,300.1542919969652,8,35,0,2,6
36,fo7.nl,20.729824741593095,20.729530978207148,0.16510119510348886,87.76933851395734,5,21,17,4,2
37,fo7_2.nl,17.749345432133822,17.744829682278656,0.17100364004727453,95.176940650912,6,25,19,2,5
38,fo7_ar25_1.nl,23.09356731010353,23.093462598997746,0.2103661720175296,121.15146829292644,6,25,10,5,3
39,fo7_ar2_1.nl,24.850423269233694,24.826288135375886,0.20841068704612553,77.43640301399864,3,11,0,3,2
40,fo7_ar3_1.nl,22.5174705281721,22.336810969632687,0.21088045393116772,95.93227902194485,4,15,4,3,3
41,fo7_ar4_1.nl,20.72982469192612,20.59343740934645,0.2088927950244397,87.3018827229971,5,18,10,3,3
42,fo7_ar5_1.nl,17.749329045518934,17.749112022588353,0.21844364702701569,90.77749398897868,5,20,9,4,3
43,fo8.nl,22.381896235265852,22.376966853398688,0.2617679249960929,155.37806068907958,5,20,13,3,4
44,fo8_ar25_1.nl,28.158554487580794,27.95584377826356,0.3158871289342642,207.28611473704223,5,17,8,4,3
45,fo8_ar2_1.nl,30.34543494972666,30.345434727595478,0.3201770590385422,300.2325091100065,6,24,6,5,5
46,fo8_ar3_1.nl,23.910053350822118,23.906318355438028,0.32136849500238895,175.92149341700133,5,21,12,5,2
47,fo8_ar4_1.nl,22.38189641954304,22.38186768245396,0.3223688759608194,101.94442174502183,4,16,11,4,1
48,fo8_ar5_1.nl,22.381896417177355,22.381287882463464,0.32157568901311606,131.16466427699197,4,14,10,4,2
49,fo9.nl,23.464285506715104,23.46424538966847,0.3876344379968941,222.76337384793442,4,16,7,4,2
50,fo9_ar25_1.nl,32.2499999498652,32.249999944647946,0.46867363806813955,300.24845275701955,5,21,10,5,2
51,fo9_ar2_1.nl,32.62499994174257,32.624999809338306,0.48085380089469254,300.2215839190176,4,16,7,4,3
52,fo9_ar3_1.nl,24.81547610789238,24.812740876894658,0.478567008045502,183.45863044506405,4,16,9,3,3
53,fo9_ar4_1.nl,23.464285603501924,23.463145242601158,0.47489667497575283,173.24290877301246,3,11,1,3,2
54,fo9_ar5_1.nl,23.46428564458532,25.405365506820367,0.47505253995768726,245.19760105700698,5,21,11,4,2
55,gear2.nl,2.727279702363975e-05,5.21215564152541e-15,0.039043936994858086,0.04098892002366483,2,6,0,2,1
56,gear3.nl,2.72645059771712e-08,2.72645059771712e-08,0.009546959889121354,0.023386878077872097,2,4,0,2,1
57,jit1.nl,173982.61006293277,173345.3768308797,0.017023032996803522,0.02458750200457871,2,3,0,2,0
58,m3.nl,37.79999956991859,37.79995944000002,0.0261729599442333,0.09245744999498129,2,4,0,2,1
59,m6.nl,82.25687581000712,82.25662956913098,0.10991676605772227,4.274624724057503,3,8,1,2,2
60,m7.nl,106.75687555085169,106.75671918188483,0.18241113692056388,61.338507941924036,3,10,0,2,2
61,m7_ar25_1.nl,143.5849968326451,143.5843781475395,0.2215232290327549,10.128649362944998,2,6,0,2,1
62,m7_ar2_1.nl,190.23499652432238,190.23465126040136,0.21614233602304012,8.841357839060947,3,9,1,2,2
63,m7_ar3_1.nl,143.5849968234994,143.58472356922198,0.21514703892171383,164.07036030699965,85,272,167,2,84
64,m7_ar4_1.nl,106.75687596509893,106.7563211999998,0.22044858511071652,60.54552841396071,2,6,0,2,1
65,m7_ar5_1.nl,106.46000474087647,106.45992118925238,0.225148021010682,62.573460963903926,3,9,2,2,2
66,no7_ar25_1.nl,107.86948984866845,107.80258998311876,0.21684459201060236,48.837479465059005,3,11,5,3,1
67,no7_ar2_1.nl,107.86632249422674,107.79953277323038,0.21759111294522882,15.60015521897003,2,6,1,2,1
68,no7_ar3_1.nl,107.81530521581657,107.61962662427466,0.21724361297674477,286.94890641397797,6,22,13,6,2
69,no7_ar4_1.nl,98.74420121890667,97.97780651070607,0.22611559100914747,214.05245742795523,6,24,19,3,5
70,no7_ar5_1.nl,90.62267375262,90.59356564793255,0.220838229986839,185.4225911720423,7,30,16,4,5
71,nvs20.nl,230.92216293970984,229.7077380220426,0.038442534976638854,0.0783411959419027,4,9,0,2,3
72,o7.nl,137.93183743739672,123.07176619126865,0.17300579405855387,300.088611460058,6,26,24,5,2
73,o7_2.nl,116.94593022681978,116.94593019603143,0.1819050629856065,300.25618379202206,6,26,19,5,3
74,o7_ar25_1.nl,140.41195730587,139.89697249461435,0.21882772899698466,288.7086200170452,4,16,6,4,3
75,o7_ar2_1.nl,140.41195724887217,140.41185561711444,0.21972734504379332,97.18343475903384,3,10,2,2,2
76,o7_ar3_1.nl,137.93183763134712,137.93183763144057,0.2193139080191031,300.20614610402845,6,22,13,6,2
