name,primalbound,cvx_bonmin.obj,cvx_bonmin.load_time,cvx_bonmin.calc_time,cvx_bonmin.solver_time,cvx_sbmiqp.obj,cvx_sbmiqp.dual_obj,cvx_sbmiqp.load_time,cvx_sbmiqp.calc_time,cvx_sbmiqp.solver_time,cvx_sbmiqp.python_time,cvx_sbmiqp.iter_nr,cvx_sbmiqp.NLP_runs,cvx_sbmiqp.FNLP_runs,cvx_sbmiqp.MIQP_runs,cvx_sbmiqp.MILP_runs,cvx_sbmiqp_ee.obj,cvx_sbmiqp_ee.dual_obj,cvx_sbmiqp_ee.load_time,cvx_sbmiqp_ee.calc_time,cvx_sbmiqp_ee.solver_time,cvx_sbmiqp_ee.python_time,cvx_sbmiqp_ee.iter_nr,cvx_sbmiqp_ee.NLP_runs,cvx_sbmiqp_ee.FNLP_runs,cvx_sbmiqp_ee.MIQP_runs,cvx_sbmiqp_ee.MILP_runs,cvx_shot.obj,cvx_shot.calctime,cvx_shot.nr_milp,cvx_shot.nr_nlp
batch,285506.5082,285506.508244153,0,0.281318675726652,0.243929000000002,300804.892139777,300804.892139777,7.81379640102387E-07,0.399879682809114,0.221914919,0.420037454925478,3,4,0,4,1,323742.127336056,324506.67598252,7.99074769020081E-07,0.225024143233895,0.308421852,0.313126731663942,2,4,0,3,0,285506.910572244,0.110934329,39,3
batch0812,2687026.784,2687026.78424794,0,1.39688327442855,0.558177000000012,2836593.01302952,2836593.01302952,0.173819215968251,1.72721508704126,0.53160177,1.13586258888245,3,6,0,4,2,2836593.01302952,2863756.98286347,0.174686702899635,0.507949865423143,0.518310709,0.728645233437419,2,4,1,3,0,2705842.85253727,0.317097962,29,8
batchdes,167427.6571,167427.657114745,0,0.0723134642466903,0.061377,178545.194550876,178545.194550876,0.018997454084456,0.0479738302528858,0.037285,0.0419709738343954,1,2,0,2,1,178545.194550876,178545.194550876,0.0186605304479599,0.035573654808104,0.026849,0.0408791825175285,1,2,0,2,0,167427.737794604,0.047965545,9,2
clay0203hfsg,41573.26252,41573.2625222128,0,5.88117576949298,1.50958699999996,41573.2625037516,41363.447514602,0.0963828144595027,3.63186980225146,1.195605701,8.97961490601301,8,16,13,7,3,41907.4603095473,41907.4603095473,0.095767910592258,1.43222942296416,1.167707945,2.84579151310027,4,14,11,5,0,41573.0723100415,0.274896144,4,3
clay0204hfsg,6545,6545.00000000071,0,20.9362610364333,6.3939699999982,6544.99996287276,6544.96781501024,0.264830503612757,2.4803187744692,2.24195454,3.68480250891298,3,15,7,4,1,6544.99996287277,6544.99996276263,0.259792912751436,2.23086706735194,2.18834180299999,3.07937890198082,2,10,5,3,0,6544.99988200073,1.003186833,4,4
clay0205hfsg,8092.5,8092.50000000096,0,302.93235205207,98.0568609998886,8092.49995687035,8092.46593459992,0.627658196724951,13.4442358538508,14.190380321,4.3609303701669,2,9,0,3,2,8092.49995687016,8092.49995687035,0.629690643399954,2.64707946497947,3.448164546,2.46013304963708,1,5,0,2,0,8092.49985990124,3.778141318,4,3
clay0303hfsg,26669.10957,26669.1095724864,0,7.25307337194681,1.94903800000015,26669.1095510135,26668.9811178536,0.124669879674912,4.63653592206538,1.360892805,10.5453671775758,7,24,19,7,3,41709.7692188692,41709.7692188692,0.123533451929688,1.93264607898891,1.219755385,3.85160737205297,4,18,16,5,0,26669.0921755539,0.979395187,13,5
clay0304hfsg,40262.38753,40262.3875306086,0,97.5177462771535,28.2901279999806,40262.3874970128,40245.0509980413,0.317788689397275,21.0775565030053,4.74996002,52.6750679183751,10,41,33,9,4,40262.3874970129,40262.3874970129,0.307761006057262,4.27738907095045,2.564678535,10.9577975366265,5,22,20,6,0,40262.387440998,4.831015237,9,10
clay0305hfsg,8092.5,8320.0000000009,0,302.753618718125,101.980470999963,8092.49995669805,8084.98099499985,0.727127792313695,12.0941963056102,11.612415983,13.6955321496353,3,12,4,4,1,8092.49995687022,8092.49995687022,0.728153469972313,3.17119373194873,3.920952028,3.01170395035297,1,5,0,2,0,8092.49985990115,6.820155356,15,8
cvxnonsep_normcon20,-21.74914736,-21.7491473637038,0,0.0327315926551819,0.038281,-21.7491473846331,-21.8222254738932,0.0200440660119057,0.0291884131729603,0.025794,0.0359503459185362,1,2,0,2,0,-21.7491473846331,-21.8222254738932,0.0195765933021903,0.029284879565239,0.027607,0.0368524519726634,1,2,0,2,0,-21.7192479906394,0.021526086,0,0
cvxnonsep_normcon30,-34.24396574,-34.2439657409252,0,0.052486315369606,0.097045,-34.0919075735022,-34.4287498590666,0.0188811970874667,21.0586355030537,3.66529508,1200.60246579535,151,302,120,123,30,-33.9875120670215,-34.2813489537135,0.0178914638236165,13.2505216123536,1.501370865,660.949193960056,130,255,115,131,0,-34.243965742743,0.028475537,0,1
